"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3794","US-13001","13","1","18561","310","116","20440.71","624.97","86.2","16","1402","19","25"
"Atkinson","1673","US-13003","13","3","8330","254","46","20084.03","552.22","36.01","3","746","11","27"
"Bacon","2815","US-13005","13","5","11404","251","69","24684.32","605.05","122.76","14","1232","12","20"
"Baker","338","US-13007","13","7","3116","54","14","10847.24","449.29","0","0","283","1","4"
"Baldwin","8298","US-13009","13","9","44428","491","212","18677.41","477.18","126.05","56","2641","48","27"
"Banks","3915","US-13011","13","11","19982","391","91","19592.63","455.41","170.15","34","569","9","8"
"Barrow","22737","US-13013","13","13","86383","1163","267","26321.15","309.09","244.26","211","2681","16","8"
"Bartow","25621","US-13015","13","15","110771","1481","414","23129.7","373.74","222.98","247","8843","62","113"
"Ben Hill","2340","US-13017","13","17","16645","214","75","14058.28","450.59","6.01","1","2556","48","86"
"Berrien","2266","US-13019","13","19","19276","147","65","11755.55","337.21","93.38","18","3426","30","52"
"Bibb","33014","US-13021","13","21","152150","3036","718","21698.32","471.9","134.08","204","10947","100","103"
"Bleckley","1585","US-13023","13","23","12838","89","48","12346.16","373.89","46.74","6","2203","60","83"
"Brantley","2710","US-13025","13","25","19202","206","93","14113.11","484.32","15.62","3","1904","21","41"
"Brooks","2141","US-13027","13","27","15727","178","75","13613.53","476.89","25.43","4","1804","20","28"
"Bryan","7882","US-13029","13","29","39137","469","89","20139.51","227.41","71.54","28","2933","19","28"
"Bulloch","11399","US-13031","13","31","79467","428","119","14344.32","149.75","36.49","29","6111","161","289"
"Burke","3220","US-13033","13","33","22342","285","72","14412.32","322.26","58.19","13","2928","50","42"
"Butts","5478","US-13035","13","35","25174","346","155","21760.55","615.71","250.26","63","2025","20","19"
"Calhoun","1072","US-13037","13","37","6317","118","24","16970.08","379.93","94.98","6","454","1","3"
